patient_question,cleaned_text,keywords,distance_to_centroid
 My friend didn't invite me to the party I must be a terrible friend.,friend invite party must terrible friend,"['invite party', 'party terrible', 'terrible friend', 'friend invite', 'party']",0.7047157
 I can't cook as well as my mom I'm not a good homemaker.,cook well mom good homemaker,"['cook mom', 'good homemaker', 'homemaker', 'mom good', 'cook']",0.42170033
 I wasn't invited to the meeting my opinions don't matter.,invited meeting opinion matter,"['meeting opinion', 'invited meeting', 'meeting', 'opinion matter', 'invited']",0.514285
 I wasn't invited to their wedding they must dislike me.,invited wedding must dislike,"['wedding dislike', 'invited wedding', 'wedding', 'dislike', 'invited']",0.6216218
 My friends didn't include me in their plans they must find me boring.,friend include plan must find boring,"['plan boring', 'include plan', 'friend include', 'boring', 'plan']",0.5736536
 My team didn't include me in their lunch plans they don't value me.,team include lunch plan value,"['lunch plan', 'include lunch', 'plan value', 'lunch', 'team include']",0.3627349
 I can't paint as well as my friend I'm not artistic.,paint well friend artistic,"['paint friend', 'friend artistic', 'paint', 'artistic', 'friend']",0.5362072
 I wasn't invited to the meeting my input isn't valuable.,invited meeting input valuable,"['meeting input', 'invited meeting', 'meeting', 'input valuable', 'input']",0.5502842
 I overcooked the dinner I'm a bad cook.,overcooked dinner bad cook,"['overcooked dinner', 'overcooked', 'bad cook', 'dinner bad', 'cook']",0.33685413
 I didn't get invited to the party I'm a social out cast.,get invited party social cast,"['party social', 'social cast', 'invited party', 'party', 'social']",0.5736924
 My painting didn't sell I'm not a good artist.,painting sell good artist,"['painting sell', 'painting', 'good artist', 'sell good', 'artist']",0.37918103
 My cake didn't turn out well I'm a bad baker.,cake turn well bad baker,"['cake turn', 'bad baker', 'cake', 'baker', 'turn bad']",0.3619035
 I didn't get invited to the reunion my classmates must dislike me.,get invited reunion classmate must dislike,"['classmate dislike', 'reunion classmate', 'invited reunion', 'classmate', 'reunion']",0.52535135
 I wasn't invited to the brainstorming session my ideas are worthless.,invited brainstorming session idea worthless,"['brainstorming session', 'invited brainstorming', 'brainstorming', 'session idea', 'idea worthless']",0.5086106
 My meal wasn't praised I'm a bad cook.,meal praised bad cook,"['meal praised', 'bad cook', 'cook', 'meal', 'praised bad']",0.4098878
 I can't paint as well as my sister I have no artistic talent.,paint well sister artistic talent,"['paint sister', 'sister artistic', 'artistic talent', 'paint', 'artistic']",0.39987028
 I wasn't invited to the lunch meeting they must not value my opinion.,invited lunch meeting must value opinion,"['lunch meeting', 'invited lunch', 'meeting', 'meeting value', 'value opinion']",0.5869559
 My friends didn't invite me to the movie they don't enjoy my company.,friend invite movie enjoy company,"['invite movie', 'movie enjoy', 'friend invite', 'enjoy company', 'invite']",0.61364114
 I didn't sell any of my paintings I'm a bad artist.,sell painting bad artist,"['sell painting', 'painting bad', 'bad artist', 'painting', 'artist']",0.26896995
 I wasn't invited to the baby shower they must not like me.,invited baby shower must like,"['baby shower', 'invited baby', 'shower like', 'shower', 'baby']",0.56163585
 My cake didn't rise I'm a terrible baker.,cake rise terrible baker,"['cake rise', 'terrible baker', 'cake', 'baker', 'rise terrible']",0.28967422
 I was not invited to the team lunch they must not enjoy my company.,invited team lunch must enjoy company,"['team lunch', 'lunch enjoy', 'lunch', 'invited team', 'enjoy company']",0.63947594
 My friend canceled our plans she must prefer to spend time with others.,friend canceled plan must prefer spend time others,"['canceled plan', 'friend canceled', 'plan prefer', 'spend time', 'plan']",0.45672393
 I wasn't acknowledged in the meeting they must not value my input.,acknowledged meeting must value input,"['acknowledged meeting', 'meeting value', 'meeting', 'value input', 'acknowledged']",0.38361415
 I wasn't invited to my friend's party they must not want me there.,invited friend party must want,"['friend party', 'party want', 'party', 'invited friend', 'invited']",0.7805871
 My team didn't invite me to lunch they must not like me.,team invite lunch must like,"['invite lunch', 'team invite', 'lunch', 'lunch like', 'team']",0.6480194
 My friend didn't invite me to their wedding they must not consider me important.,friend invite wedding must consider important,"['invite wedding', 'wedding consider', 'wedding', 'friend invite', 'consider important']",0.72356325
 My boss didn't invite me to the meeting they must not think I'm capable.,bos invite meeting must think capable,"['invite meeting', 'bos invite', 'meeting think', 'meeting', 'bos']",0.5398463
 I can't cook as well as my mom I'm not a good cook.,cook well mom good cook,"['cook mom', 'good cook', 'mom good', 'cook', 'mom']",0.39941144
 My colleagues didn't invite me to happy hour they must not like me.,colleague invite happy hour must like,"['colleague invite', 'happy hour', 'invite happy', 'colleague', 'invite']",0.717813
 I wasn't invited to the graduation party I must not be liked.,invited graduation party must liked,"['graduation party', 'invited graduation', 'party liked', 'graduation', 'party']",0.6361595
 My neighbor didn't invite me to their barbecue they must not enjoy my company.,neighbor invite barbecue must enjoy company,"['invite barbecue', 'barbecue enjoy', 'barbecue', 'neighbor invite', 'neighbor']",0.6366695
 My friend didn't invite me to their dinner party they must not enjoy my company.,friend invite dinner party must enjoy company,"['invite dinner', 'dinner party', 'party enjoy', 'dinner', 'party']",0.8078782
 My painting didn't win the competition I must be untalented.,painting win competition must untalented,"['painting win', 'competition untalented', 'painting', 'win competition', 'competition']",0.41080773
 I didn't win the photography contest my photos must not be good.,win photography contest photo must good,"['photography contest', 'contest photo', 'win photography', 'contest', 'photo good']",0.40429804
 I wasn't asked to be a bridesmaid I must not be liked.,asked bridesmaid must liked,"['bridesmaid liked', 'asked bridesmaid', 'bridesmaid', 'liked', 'asked']",0.53737164
 I didn't get an invitation to the reunion they must not remember me.,get invitation reunion must remember,"['invitation reunion', 'reunion remember', 'reunion', 'invitation', 'remember']",0.49193406
 My parents didn't display my painting they must not think it's good.,parent display painting must think good,"['display painting', 'parent display', 'painting', 'painting think', 'parent']",0.34656876
 I wasn't invited to my colleague's wedding they must not like me.,invited colleague wedding must like,"['colleague wedding', 'invited colleague', 'wedding', 'wedding like', 'colleague']",0.7332356
 I didn't get an invite to the Christmas party they must not want me there.,get invite christmas party must want,"['invite christmas', 'christmas party', 'party want', 'party', 'invite']",0.5674108
 I didn't receive a return invite to the dinner party they must not have enjoyed my company.,receive return invite dinner party must enjoyed company,"['invite dinner', 'dinner party', 'return invite', 'party enjoyed', 'dinner']",0.72976285
 My best friend didn't choose me as their maid of honor they must not value our friendship.,best friend choose maid honor must value friendship,"['maid honor', 'value friendship', 'choose maid', 'best friend', 'maid']",0.58402246
 I wasn't invited to the office outing they must not like me.,invited office outing must like,"['office outing', 'invited office', 'outing', 'outing like', 'office']",0.65481013
 I didn't win the art contest I must not be artistic.,win art contest must artistic,"['contest artistic', 'art contest', 'win art', 'contest', 'art']",0.47028345
 I wasn't chosen as a bridesmaid the bride must not like me.,chosen bridesmaid bride must like,"['chosen bridesmaid', 'bridesmaid bride', 'bridesmaid', 'bride like', 'bride']",0.50575286
 I can't paint as well as my sister I must not be artistic.,paint well sister must artistic,"['paint sister', 'sister artistic', 'paint', 'artistic', 'sister']",0.47954416
 My coworker didn't include me in the lunch plans they must not like me.,coworker include lunch plan must like,"['lunch plan', 'include lunch', 'lunch', 'coworker include', 'plan like']",0.52448213
 My painting didn't get chosen for the exhibition I must be untalented.,painting get chosen exhibition must untalented,"['painting chosen', 'chosen exhibition', 'exhibition untalented', 'painting', 'exhibition']",0.4861334
 My partner didn't compliment my cooking they must not like it.,partner compliment cooking must like,"['compliment cooking', 'partner compliment', 'cooking like', 'cooking', 'compliment']",0.5809783
 My colleagues didn't invite me for drinks after work they must not enjoy my company.,colleague invite drink work must enjoy company,"['colleague invite', 'drink work', 'invite drink', 'colleague', 'drink']",0.65403986
 My friends didn't invite me to the movie they must not want me around.,friend invite movie must want around,"['invite movie', 'friend invite', 'movie want', 'invite', 'movie']",0.6610192
 I can't bake like my mom I'm a terrible baker.,bake like mom terrible baker,"['terrible baker', 'bake like', 'bake', 'mom terrible', 'baker']",0.3226583
 My colleague didn't invite me to their housewarming party they must not like me.,colleague invite housewarming party must like,"['colleague invite', 'housewarming party', 'invite housewarming', 'party', 'party like']",0.6962569
 I can't draw as well as my brother I must lack artistic skills.,draw well brother must lack artistic skill,"['draw brother', 'artistic skill', 'draw', 'lack artistic', 'artistic']",0.44927096
 My friend didn't invite me to her wedding she must not value our friendship.,friend invite wedding must value friendship,"['invite wedding', 'value friendship', 'wedding', 'wedding value', 'friendship']",0.7161454
 My neighbor didn't invite me to their party they must not like me.,neighbor invite party must like,"['neighbor invite', 'invite party', 'party', 'party like', 'neighbor']",0.6742028
 My friend didn't include me in their plans they must not enjoy my company.,friend include plan must enjoy company,"['friend include', 'include plan', 'plan enjoy', 'enjoy company', 'plan']",0.64397943
